Name,Fame_Level,Short_Description,Gender,Category
Edward Snowden,1,American whistleblower who leaked highly classified information from the National Security Agency in 2013.,Male,Activists
Greta Thunberg,1,Swedish environmental activist known for challenging world leaders to take immediate action against climate change.,Female,Activists
Malala Yousafzai,1,Pakistani activist for female education and the youngest Nobel Prize laureate.,Female,Activists
Rosa Parks,1,American activist in the civil rights movement best known for her pivotal role in the Montgomery Bus Boycott.,Female,Activists
Angelina Jolie,1,"Academy Award-winning actress and humanitarian, known for her roles in films like Girl, Interrupted and Maleficent.",Female,Actor/Actress
Anne Hathaway,1,"Academy Award-winning actress, known for her roles in Les Misérables and The Devil Wears Prada.",Female,Actor/Actress
Anthony Hopkins,1,"Legendary Welsh actor, famous for his chilling portrayal of Hannibal Lecter in The Silence of the Lambs. Multiple-time Academy Award winner.",Male,Actor/Actress
Brad Pitt,1,Acclaimed actor and producer known for a wide range of roles. Academy Award winner for Once Upon a Time in Hollywood.,Male,Actor/Actress
Brie Larson,1,Academy Award-winning actress known for her roles in Room and as Captain Marvel in the Marvel Cinematic Universe.,Female,Actor/Actress
Cate Blanchett,1,"Two-time Academy Award-winning Australian actress, known for roles in films like The Aviator and Blue Jasmine.",Female,Actor/Actress
Charlize Theron,1,"South African actress and producer, Academy Award winner for her transformative role in Monster.",Female,Actor/Actress
Christian Bale,1,"Known for his intense method acting and transformational roles, including Batman in The Dark Knight trilogy. Academy Award winner for The Fighter.",Male,Actor/Actress
Daniel Craig,1,"English actor, famous for his portrayal of James Bond in the Bond film series.",Male,Actor/Actress
Denzel Washington,1,Multiple-time Academy Award-winning actor known for performances in films like Training Day and Glory.,Male,Actor/Actress
Dwayne 'The Rock' Johnson,1,"Former professional wrestler turned actor, known for his roles in the Fast & Furious franchise and Moana.",Male,Actor/Actress
Emma Stone,1,"Academy Award-winning actress, known for her roles in films like La La Land and The Amazing Spider-Man.",Female,Actor/Actress
George Clooney,1,Academy Award-winning actor and director known for his roles in films like Ocean's Eleven and Syriana.,Male,Actor/Actress
Helen Mirren,1,"English actress, Academy Award winner for her role in The Queen.",Female,Actor/Actress
Hugh Jackman,1,"Australian actor, famous for his long-running role as Wolverine in the X-Men series and his Academy Award-nominated performance in Les Misérables.",Male,Actor/Actress
Joaquin Phoenix,1,"Known for his intense performances, Academy Award winner for his role as the Joker.",Male,Actor/Actress
Jodie Foster,1,Two-time Academy Award-winning actress known for her roles in films like The Silence of the Lambs and Taxi Driver.,Female,Actor/Actress
Johnny Depp,1,"Known for his versatile roles, most notably as Captain Jack Sparrow in the Pirates of the Caribbean series.",Male,Actor/Actress
Kate Winslet,1,"English actress, Academy Award winner known for her roles in Titanic and The Reader.",Female,Actor/Actress
Keanu Reeves,1,Known for his roles in films like The Matrix series and John Wick.,Male,Actor/Actress
Michael Douglas,1,Two-time Academy Award winner known for his roles in films like Wall Street and Fatal Attraction.,Male,Actor/Actress
Morgan Freeman,1,"Iconic actor with a distinctive voice, known for roles in films like The Shawshank Redemption and Million Dollar Baby. Academy Award winner.",Male,Actor/Actress
Natalie Portman,1,Academy Award-winning actress known for her roles in Black Swan and as Padmé Amidala in the Star Wars prequel trilogy.,Female,Actor/Actress
Nicole Kidman,1,Academy Award-winning Australian actress known for roles in Moulin Rouge! and The Hours.,Female,Actor/Actress
Reese Witherspoon,1,"Academy Award-winning actress, known for her roles in films like Walk the Line and Legally Blonde.",Female,Actor/Actress
Sally Field,1,Two-time Academy Award-winning actress known for her roles in Norma Rae and Places in the Heart.,Female,Actor/Actress
Samuel L. Jackson,1,Prolific actor known for his roles in Pulp Fiction and as Nick Fury in the Marvel Cinematic Universe.,Male,Actor/Actress
Sandra Bullock,1,Academy Award-winning actress known for roles in films like The Blind Side and Speed.,Female,Actor/Actress
Sean Connery,1,"Late actor, best remembered as the original James Bond in seven Bond films. Academy Award winner for The Untouchables.",Male,Actor/Actress
Will Smith,1,"Actor and rapper, known for his roles in The Fresh Prince of Bel-Air and films like Men in Black and The Pursuit of Happyness. Two-time Academy Award nominee.",Male,Actor/Actress
Andy Warhol,1,"American artist, leading figure in the visual art movement known as pop art. Notable works include ""Campbell's Soup Cans"".",Male,Artists/Painters
Claude Monet,1,"French painter, founder of French Impressionist painting, best known for ""Water Lilies"" series.",Male,Artists/Painters
Frida Kahlo,1,"Mexican painter, best known for her self-portraits and works inspired by Mexico's nature and artifacts.",Female,Artists/Painters
Georgia O'Keeffe,1,"American modernist artist, recognized for her paintings of enlarged flowers, New York skyscrapers, and New Mexico landscapes.",Female,Artists/Painters
Jackson Pollock,1,"American painter, major figure in the abstract expressionist movement, known for his unique style of drip painting.",Male,Artists/Painters
Michelangelo,1,"Italian sculptor, painter, and architect of the High Renaissance, known for the ceiling of the Sistine Chapel.",Male,Artists/Painters
Pablo Picasso,1,"Spanish painter, sculptor, printmaker, known for co-founding the Cubist movement and for ""Guernica"".",Male,Artists/Painters
Rembrandt,1,"Dutch painter and etcher, considered one of the greatest painters in European art history.",Male,Artists/Painters
Salvador Dalí,1,"Spanish surrealist artist, famous for works like ""The Persistence of Memory"".",Male,Artists/Painters
Vincent van Gogh,1,"Dutch post-impressionist painter, known for works like ""Starry Night"" and ""Sunflowers"".",Male,Artists/Painters
Bill Gates,1,"Co-founder of Microsoft Corporation, one of the best-known entrepreneurs of the personal computer revolution.",Male,Entrepreneurs/Business leaders
Elon Musk,1,"Co-founder of PayPal and Tesla, Inc., and founder of SpaceX and The Boring Company.",Male,Entrepreneurs/Business leaders
Jack Ma,1,"Founder of Alibaba Group, a multinational conglomerate specializing in e-commerce, retail, internet, and technology.",Male,Entrepreneurs/Business leaders
Jeff Bezos,1,"Founder of Amazon, a multinational technology company.",Male,Entrepreneurs/Business leaders
Mark Zuckerberg,1,"Co-founder and CEO of Facebook, a social networking website.",Male,Entrepreneurs/Business leaders
Oprah Winfrey,1,"Media executive, actress, talk show host, television producer and philanthropist.",Female,Entrepreneurs/Business leaders
Steve Jobs,1,"Co-founder, chairman, and former CEO of Apple Inc.",Male,Entrepreneurs/Business leaders
Warren Buffett,1,"Chairman and CEO of Berkshire Hathaway, considered one of the most successful investors in the world.",Male,Entrepreneurs/Business leaders
Abraham Lincoln,1,"16th President of the United States, led the nation through the American Civil War.",Male,Historic Figures
Adolf Hitler,1,Dictator of Nazi Germany from 1933 to 1945.,Male,Historic Figures
Alexander the Great,1,King of Macedonia who created one of the largest empires of the ancient world by the age of 30.,Male,Historic Figures
Christopher Columbus,1,Italian explorer credited with the discovery of the Americas for Europe.,Male,Historic Figures
Cleopatra,1,"Last active ruler of the Ptolemaic Kingdom of Egypt, known for her relationships with Julius Caesar and Mark Antony.",Female,Historic Figures
George Washington,1,First President of the United States and commander-in-chief of the Continental Army during the American Revolutionary War.,Male,Historic Figures
Joan of Arc,1,French heroine and Catholic saint of the Hundred Years' War.,Female,Historic Figures
Julius Caesar,1,"Roman general, statesman, and historian who played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire.",Male,Historic Figures
Leonardo da Vinci,1,"Italian polymath of the High Renaissance who is widely considered one of the most diversely talented individuals ever to have lived. Famous for his paintings ""Mona Lisa"" and ""The Last Supper"".",Male,Historic Figures
Mahatma Gandhi,1,"Leader of Indian nationalism against British rule, famous for his nonviolent resistance.",Male,Historic Figures
Marie Curie,1,"Physicist and chemist who conducted pioneering research on radioactivity, and the first woman to win a Nobel Prize.",Female,Historic Figures
Martin Luther King Jr,1,Leader of the American Civil Rights Movement who campaigned against racial segregation.,Male,Historic Figures
Napoleon Bonaparte,1,French military and political leader during the latter stages of the French Revolution.,Male,Historic Figures
Nelson Mandela,1,"Anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999.",Male,Historic Figures
Queen Elizabeth I,1,"Queen of England and Ireland from 1558 until her death in 1603, known as the 'Virgin Queen'.",Female,Historic Figures
Socrates,1,Classical Greek philosopher credited as one of the founders of Western philosophy.,Male,Historic Figures
Adele,1,"British singer known for her powerful vocals and hits like ""Someone Like You"" and ""Rolling in the Deep."" Multiple Grammy Awards winner.",Female,Musicians
Alicia Keys,1,"R&B singer known for her powerful vocals and hits like ""Fallin'"" and ""No One.""",Female,Musicians
Ariana Grande,1,"Pop star known for her wide vocal range and hits like ""Thank U, Next"" and ""7 Rings.""",Female,Musicians
Beyoncé,1,"Former Destiny's Child member turned solo artist, known for hits like ""Single Ladies"" and ""Crazy in Love.""",Female,Musicians
Billie Eilish,1,"Grammy-winning pop singer known for hits like ""Bad Guy"" and ""When the Party's Over.""",Female,Musicians
Billy Joel,1,"Known as the ""Piano Man,"" famous for hits like ""Uptown Girl"" and ""We Didn't Start the Fire.""",Male,Musicians
Bruce Springsteen,1,"Known as ""The Boss,"" famous for hits like ""Born in the USA"" and ""Dancing in the Dark.""",Male,Musicians
Cardi B,1,"Rapper known for her candid lyrics and hits like ""Bodak Yellow"" and ""I Like It.""",Female,Musicians
Dolly Parton,1,"Country music legend known for hits like ""Jolene"" and ""9 to 5.""",Female,Musicians
Drake,1,"Canadian rapper, singer, and songwriter, known for hits like ""God's Plan"" and ""Hotline Bling.""",Male,Musicians
Dua Lipa,1,"English pop singer known for her catchy hits like ""New Rules"" and ""Don't Start Now.""",Female,Musicians
Ed Sheeran,1,"English singer-songwriter known for hits like ""Shape of You"" and ""Thinking Out Loud.""",Male,Musicians
Harry Styles,1,"English singer known for his solo career post-One Direction, with hits like ""Watermelon Sugar"" and ""Adore You.""",Male,Musicians
Justin Bieber,1,"Canadian pop star known for hits like ""Baby"" and ""Sorry.""",Male,Musicians
Kendrick Lamar,1,"Acclaimed rapper known for his storytelling and hits like ""Humble"" and ""Alright."" Multiple Grammy Awards winner.",Male,Musicians
Madonna,1,"Known as the ""Queen of Pop,"" famous for hits like ""Like a Virgin"" and ""Material Girl.""",Female,Musicians
Mariah Carey,1,"Singer known for her wide vocal range and hits like ""All I Want for Christmas Is You"" and ""We Belong Together.""",Female,Musicians
Miley Cyrus,1,"Pop singer known for her hits like ""Party in the U.S.A."" and ""Wrecking Ball.""",Female,Musicians
Nicki Minaj,1,"Rapper known for her fast flow and hits like ""Super Bass"" and ""Anaconda.""",Female,Musicians
Olivia Rodrigo,1,"Pop singer known for her debut hit ""Drivers License"" and her album ""Sour.""",Female,Musicians
Paul McCartney,1,"Member of the Beatles, one of the most influential bands in history.",Male,Musicians
Post Malone,1,"Rapper and singer known for his melodic style and hits like ""Congratulations"" and ""Circles.""",Male,Musicians
Rihanna,1,"Barbadian singer, known for hits like ""Umbrella"" and ""Diamonds.""",Female,Musicians
Sam Smith,1,"English singer known for their soulful voice and hits like ""Stay With Me"" and ""Too Good at Goodbyes.""",Male,Musicians
Taylor Swift,1,"Pop and country singer known for hits like ""Love Story"" and ""Shake it Off."" Multiple Grammy Awards winner.",Female,Musicians
The Weeknd,1,"Canadian R&B singer known for hits like ""Blinding Lights"" and ""Can't Feel My Face.""",Male,Musicians
